id,code,name,region
52336,52014000,湖北省人民医院,湖北
52337,52022243,吉林省一汽总医院,吉林
52338,52010119,上海科华生物工程股份有限公司,上海
52339,52010515,漯河市中心医院,河南
52340,52013999,宝山区泗塘街道社区卫生服务中心,上海
52341,52010443,深圳市宝安区人民医院,广东
52342,52010549,江西省妇幼保健院,江西
52343,52010581,玉林市第二人民医院,广西
52344,52022018,南丰县人民医院,江西
52345,52010590,和田地区人民医院,新疆
52346,52010635,广东省中医院二沙岛分院,广东
52347,52010545,博奥生物集团有限公司,北京
52348,52010445,天津市武清区人民医院,天津
52349,52010554,无锡市第二人民医院,江苏
52350,52010752,青岛市城阳区人民医院,山东
52351,52010766,金华市中医院,浙江
52352,52022028,无锡市中医医院,江苏
52353,52022247,吉林省人民医院,吉林
52354,52022248,长春市第二医院,吉林
52355,52010541,广东省妇幼保健院,广东
52356,52010584,河南省疾病预防控制中心,河南
52357,52022315,重庆大学附属三峡医院平湖分院,重庆
52358,52022120,北京市大兴区人民医院,北京
52359,52022268,常州市中医医院,江苏
52360,52022078,保定市第一中心医院,河北
52361,52022313,重庆医科大学附属第一医院,重庆
52362,52022127,北京中医药大学东方医院,北京
52363,52022255,北京市昌平区妇幼保健院,北京
52364,52022325,锦州铁路分局大虎山医院,辽宁
52365,52022312,鄂钢医院,湖北
52366,52022218,滨州市中心医院,山东
52367,52022335,大连港医院,辽宁
52368,52022342,庄河市中心医院,辽宁
52369,52022190,北京市石景山医院,北京
52370,52022241,长治市第三人民医院,山西
52371,52022371,东莞市妇幼保健院,广东
52372,52022384,东莞市妇幼保健院南城院区,广东
52373,52022355,大同市第五人民医院,山西
52374,52022380,东莞市大朗医院,广东
52375,52022387,东莞市黄江医院,广东
52376,52022398,东莞三局医院,广东
52377,52022352,让胡路区人民医院,黑龙江
52378,52022203,首都医科大学附属北京康复医院（北京工人疗养院）,北京
52379,52022230,北京市神经外科研究所,北京
52380,52022319,重庆钢铁（集团）有限责任公司,重庆
52381,52022399,东莞市清溪医院,广东
52382,52022420,广州市番禺区妇幼保健院,广东
52383,52022431,富春江水电设备总厂职工医院,浙江
52384,52022376,洞庭氮肥厂职工医院,湖南
52385,52022393,东莞市第八人民医院,广东
52386,52022429,中国人民解放军空军军医大学,陕西
52387,52022434,福建省老年医院,福建
52388,52022439,晋江市安海医院,福建
52389,52022421,肥城矿业中心医院,山东
52390,52022446,福建省肿瘤医院,福建
52391,52022448,福建省临床检验中心,福建
52392,52022468,福州市第二医院,福建
52393,52022482,高尔宝生物技术有限公司,广东
52394,52022459,福建省福清市医院,福建
52395,52022454,佛山市第二人民医院,广东
52396,52010339,高桥社区卫生服务中心,上海
52397,52022504,广东省第二中医院,广东
52398,52022583,广州市红十字会医院,广东
52399,52014366,中国医学科学院实验动物研究所,北京
52400,52014603,上海申德医院,上海
52401,52015321,中国人民解放军陆军第九五八医院,重庆
52402,52015322,北京大学口腔医院,北京
52403,52022023,上海国际旅行卫生保健中心,上海
52404,52022499,佛山市第五人民医院,广东
52405,52022586,桂林医学院附属医院,广西
52406,52022514,岑溪市人民医院,广西
52407,52022582,海珠区瑞宝街社区卫生服务中心,广东
52408,52022589,桂林市生之源干细胞专科公司,广西
52409,52022609,贵阳市第四人民医院,贵州
52410,52013995,湖南师范大学附属湘东医院,湖南
52411,52022588,桂林市人民医院,广西
52412,52022602,赤水市人民医院,贵州
52413,52014001,江苏省中西医结合医院,江苏
52414,52010639,广州爱康国宾健康检查有限公司,广东
52415,52022619,哈尔滨医科大学附属第一医院,黑龙江
52416,52010583,上海市光华中西医结合医院,上海
52417,52010755,广东省中医院珠海医院,广东
52418,52013994,南华大学附属第一医院,湖南
52419,52022612,遵义医科大学附属医院,贵州
52420,52022620,哈尔滨医科大学附属肿瘤医院,黑龙江
52421,52022623,哈尔滨市第五医院,黑龙江
52422,52010765,龙岩市博爱医院,福建
52423,52022494,茂名市电白区人民医院,广东
52424,52022635,广州海珠区中医院,广东
52425,52022630,海口市妇幼保健院,海南
52426,52022648,郑州市第一人民医院,河南
52427,52022670,河北省人民医院,河北
52428,52022659,监利县卫生防疫站,湖北
52429,52022567,广州市皮肤病防治所,广东
52430,52022580,增城市荔城医院,广东
52431,52022561,中山大学附属第六医院,广东
52432,52022684,中铁四局集团中心医院,安徽
52433,52022690,黑龙江省体育科学研究所,黑龙江
52434,52022693,黑龙江省中医药大学附属第一医院,黑龙江
52435,52022656,安徽省胸科医院,安徽
52436,52022633,唐山市唐海县人民医院,河北
